brand,model,boardModelId,primaryLane,secondaryLanes,confidence,missingFields
Album,Bom Dia,8114,twin_fin_performance,alternative_performance; point_break_fish,high,waveRange; surferFit
Album,Bullet,8115,hybrid_daily_driver,small_wave_daily_driver,medium,waveRange; surferFit
Album,D'boa,8116,fish,weak_wave_board,medium,waveRange; surferFit
Album,Delma,8117,fish,weak_wave_board,medium,waveRange; surferFit
Album,Disorder,8118,high_performance_shortboard,performance_daily_driver,medium,waveRange; surferFit
Album,Fascination,8119,modern_fish,performance_fish,medium,waveRange; surferFit
Album,Freewing,8120,high_performance_shortboard,powerful_wave_board,low,waveRange; surferFit
Album,Insanity,8121,high_performance_shortboard,powerful_wave_board,low,waveRange; surferFit
Album,Lightbender,8123,performance_fish,modern_fish; point_break_fish; twin_fin_performance,high,waveRange; surferFit
Album,Moonstone,8124,performance_fish,modern_fish,medium,waveRange; surferFit
Album,Plasmic,8125,fish_hybrid,small_wave_fish,medium,waveRange; surferFit
Album,ProtoAtypical,8126,high_performance_shortboard,powerful_wave_board,medium,waveRange; surferFit
Album,Sunstone,8127,cruisy_fish,modern_fish,medium,waveRange; surferFit
Album,The End,8128,mid_length,,low,waveRange; surferFit
Album,Townsend,8129,performance_mid_length,step_up_mid_length,medium,waveRange; surferFit
Album,Twinsman,8130,twin_fin_performance,modern_fish; point_break_fish,high,waveRange; surferFit
Album,VBSM,8131,high_performance_shortboard,powerful_wave_board,low,waveRange; surferFit
Album,Veebee,8132,fish,weak_wave_board,medium,waveRange; surferFit
Album,Warp Twin,8133,twin_fin_performance,modern_fish,medium,waveRange; surferFit
Channel Islands,average-joe,7714,hybrid_daily_driver,one_board_quiver,low,waveRange; surferFit
Channel Islands,better-everyday,7715,performance_daily_driver,forgiving_daily_driver; one_board_quiver,medium,waveRange; surferFit
Channel Islands,big-happy,7716,hybrid_daily_driver,one_board_quiver,low,waveRange; surferFit
Channel Islands,biscuit-bonzer,,hybrid_daily_driver,one_board_quiver,low,waveRange; surferFit
Channel Islands,black-and-white,,high_performance_shortboard,powerful_wave_board,medium,waveRange; surferFit
Channel Islands,bobby-quad,7718,hybrid_daily_driver,one_board_quiver,low,waveRange; surferFit
Channel Islands,bonzer-3d,,hybrid_daily_driver,one_board_quiver,low,waveRange; surferFit
Channel Islands,bonzer-shelter,,hybrid_daily_driver,one_board_quiver,low,waveRange; surferFit; designData
Channel Islands,bunny-chow,7719,hybrid_daily_driver,one_board_quiver,low,waveRange; surferFit
Channel Islands,chancho,,mid_length,,medium,waveRange; surferFit
Channel Islands,ci-2-pro,7720,hybrid_daily_driver,one_board_quiver,low,waveRange; surferFit
Channel Islands,ci-2-pro-step-up,,step_up,powerful_wave_board; travel_board,medium,waveRange; surferFit
Channel Islands,ci-fish,7721,traditional_fish,small_wave_fish; keel_fish,medium,waveRange; surferFit; designData
Channel Islands,ci-mid,7722,performance_mid_length,cruisy_mid_length,medium,waveRange; surferFit
Channel Islands,ci-mid-twin,7723,mid_length_twin,performance_mid_length,medium,waveRange; surferFit
Channel Islands,ci-mid-twin-1,,hybrid_daily_driver,twin_fin; one_board_quiver,low,waveRange; surferFit
Channel Islands,ci-pro,7724,hybrid_daily_driver,one_board_quiver,low,waveRange; surferFit
Channel Islands,ci-pro-step-up,,step_up,powerful_wave_board; travel_board,medium,waveRange; surferFit
Channel Islands,dumpster-diver,7725,hybrid_daily_driver,one_board_quiver,low,waveRange; surferFit
Channel Islands,dumpster-diver-2,7726,step_down_shortboard,small_wave_daily_driver,medium,waveRange; surferFit
Channel Islands,febs-fish,,modern_fish,performance_fish,medium,waveRange; surferFit; designData
Channel Islands,fever,7728,high_performance_shortboard,performance_daily_driver,medium,waveRange; surferFit; designData
Channel Islands,fishbeard,,performance_fish,modern_fish; twin_fin_performance,medium,waveRange; surferFit
Channel Islands,free-scrubber-1,,hybrid_daily_driver,one_board_quiver,low,waveRange; surferFit
