brand,model,boardModelId,descriptionPresent,classificationPresent,categoryPresent,waveRangePresent,waveTypePresent,wavePowerPresent,abilityPresent,designMetadataPresent,designFields,recommendationTagsPresent,equivalencyEvidencePresent,riderGuidancePresent,sourceQuality,confidence,confidenceBand,canonicalSizeCount,missingFields,priorityScore,recommendedNextAction
Album,Bom Dia,8114,True,True,True,False,False,False,False,True,outline|entry_rocker|exit_rocker|rail,True,True,False,manufacturer_primary,0.55,medium,11,waveRange|waveType|wavePower|surferAbility,91,Extract structured manufacturer metadata
Album,Bullet,8115,True,True,True,False,False,False,False,False,,True,False,False,manufacturer_primary,0.55,medium,7,waveRange|waveType|wavePower|surferAbility|designMetadata|equivalency,91,Extract structured manufacturer metadata
Album,D'boa,8116,True,False,False,False,False,True,False,True,exit_rocker|rail,True,True,False,manufacturer_primary,0.55,medium,7,primaryCategory|waveRange|waveType|surferAbility,97,Extract structured manufacturer metadata
Album,Delma,8117,True,False,False,False,False,False,False,True,exit_rocker|rail|tail,True,True,False,manufacturer_primary,0.45,low,5,primaryCategory|waveRange|waveType|wavePower|surferAbility,97,Extract structured manufacturer metadata
Album,Disorder,8118,True,False,False,False,False,False,False,True,rail|fin,False,False,False,manufacturer_primary,0.35,low,8,primaryCategory|waveRange|waveType|wavePower|surferAbility|recommendationTags|equivalency,104,Extract structured manufacturer metadata
Album,Fascination,8119,True,False,False,False,False,False,False,True,outline|fin,False,False,False,manufacturer_primary,0.35,low,8,primaryCategory|waveRange|waveType|wavePower|surferAbility|recommendationTags|equivalency,104,Extract structured manufacturer metadata
Album,Freewing,8120,True,True,True,False,False,False,False,False,,True,False,False,manufacturer_primary,0.55,medium,9,waveRange|waveType|wavePower|surferAbility|designMetadata|equivalency,93,Extract structured manufacturer metadata
Album,Insanity,8121,True,True,True,False,False,False,False,True,entry_rocker|exit_rocker|rail,True,True,False,manufacturer_primary,0.55,medium,11,waveRange|waveType|wavePower|surferAbility,91,Extract structured manufacturer metadata
Album,Lightbender,8123,True,True,True,False,False,False,False,True,outline,True,False,False,manufacturer_primary,0.55,medium,12,waveRange|waveType|wavePower|surferAbility|equivalency,94,Extract structured manufacturer metadata
Album,Moonstone,8124,True,True,True,False,False,False,False,True,outline,False,False,False,manufacturer_primary,0.45,low,8,waveRange|waveType|wavePower|surferAbility|recommendationTags|equivalency,92,Extract structured manufacturer metadata
Album,Plasmic,8125,True,False,False,False,False,False,False,True,entry_rocker|rail|tail|fin,True,True,False,manufacturer_primary,0.45,low,14,primaryCategory|waveRange|waveType|wavePower|surferAbility,106,Extract structured manufacturer metadata
Album,ProtoAtypical,8126,True,True,True,False,False,False,False,True,entry_rocker|exit_rocker|rail,True,True,False,manufacturer_primary,0.55,medium,6,waveRange|waveType|wavePower|surferAbility,86,Extract structured manufacturer metadata
Album,Sunstone,8127,True,False,False,False,False,False,False,False,,False,False,False,manufacturer_primary,0.35,low,8,primaryCategory|waveRange|waveType|wavePower|surferAbility|designMetadata|recommendationTags|equivalency,106,Extract structured manufacturer metadata
Album,The End,8128,True,False,False,False,False,False,False,True,outline|rail,False,True,False,manufacturer_primary,0.35,low,6,primaryCategory|waveRange|waveType|wavePower|surferAbility|recommendationTags,100,Extract structured manufacturer metadata
Album,Townsend,8129,True,True,True,False,False,False,False,True,rail,False,False,False,manufacturer_primary,0.45,low,7,waveRange|waveType|wavePower|surferAbility|recommendationTags|equivalency,91,Extract structured manufacturer metadata
Album,Twinsman,8130,True,False,False,False,False,False,False,True,entry_rocker|exit_rocker|rail|fin,False,True,False,manufacturer_primary,0.35,low,14,primaryCategory|waveRange|waveType|wavePower|surferAbility|recommendationTags,108,Extract structured manufacturer metadata
Album,VBSM,8131,True,True,True,False,False,False,False,True,outline|entry_rocker|exit_rocker|rail|fin,True,True,False,manufacturer_primary,0.55,medium,6,waveRange|waveType|wavePower|surferAbility,86,Extract structured manufacturer metadata
Album,Veebee,8132,True,False,False,False,False,False,False,True,outline|rail,True,True,False,manufacturer_primary,0.45,low,9,primaryCategory|waveRange|waveType|wavePower|surferAbility,101,Extract structured manufacturer metadata
Album,Warp Twin,8133,True,True,True,False,False,False,False,True,entry_rocker|exit_rocker|rail,True,True,False,manufacturer_primary,0.55,medium,6,waveRange|waveType|wavePower|surferAbility,86,Extract structured manufacturer metadata
