detailed_category,model_count
Alternative Performance Twin,15
Alternative Performance Twin Pin,1
Competition HPSB,2
Crossover Mid Length,1
Easy-Riding Mid Length,1
Everyday Daily Driver,19
Extreme Small-Wave Groveller,1
Forgiving High Performance Shortboard,1
Groveller,14
High Performance Shortboard,66
Hybrid Shortboard,124
Large-Rider High Performance Shortboard,4
Longboard,13
Mid Length,37
Modern Step Up,1
Performance Daily Driver,18
Performance Fish,36
Performance Groveller,2
Performance Mid Length,5
Performance Mid Length Step-Up,1
Performance Mid Length Step-Up Twin,1
Performance Shortboard,6
Performance Softboard Groveller,1
Performance Twin Daily Driver,3
Quality-Wave High Performance Shortboard,1
Quality-Wave Performance Shortboard,1
Reef and Barrel Step Up,1
Small Wave Performance Shortboard,3
Small Wave Performance Twin,1
Small-Wave Competition HPSB,1
Softboard,5
Step Up,35
Traditional Fish,8
Twin Pin,1
Youth Quality-Wave Performance Shortboard,1
