brand,models,descriptions,categories,waveMetadata,surferMetadata,designMetadata,sourceQuality,topMissingFields,descriptionsBefore,descriptionsGain,categoriesBefore,categoriesGain,waveMetadataBefore,waveMetadataGain,surferMetadataBefore,surferMetadataGain,designMetadataBefore,designMetadataGain
Album,19,19,16,1,0,19,manufacturer_primary,manufacturerCategory: 19; waveHeight: 19; waveTypes: 19,19,0,10,6,1,0,0,0,16,3
Channel Islands,62,62,20,8,1,50,manufacturer_primary,manufacturerCategory: 62; waveHeight: 62; surferAbility: 61,62,0,17,3,7,1,1,0,23,27
Chemistry Surfboards,38,36,10,8,2,25,manufacturer_primary,manufacturerCategory: 38; waveHeight: 38; waveTypes: 36,36,0,7,3,6,2,2,0,10,15
Chilli,24,24,13,19,10,24,manufacturer_primary,manufacturerCategory: 24; waveTypes: 22; waveHeight: 20,24,0,11,2,11,8,10,0,24,0
Christenson,36,35,15,8,3,31,manufacturer_primary,manufacturerCategory: 36; waveHeight: 34; waveTypes: 34,36,-1,6,9,6,2,3,0,20,11
DHD,23,22,13,19,14,23,manufacturer_primary,manufacturerCategory: 23; waveTypes: 20; wavePower: 11,22,0,13,0,18,1,14,0,13,10
DMS Surfboards,8,8,1,6,0,8,manufacturer_primary,manufacturerCategory: 8; surferAbility: 8; waveTypes: 7,8,0,1,0,6,0,0,0,8,0
Firewire,29,29,22,22,2,29,manufacturer_primary,manufacturerCategory: 29; waveHeight: 28; waveTypes: 27,29,0,16,6,22,0,2,0,29,0
Haydenshapes,14,14,7,14,12,14,manufacturer_primary,manufacturerCategory: 14; waveHeight: 10; primaryCategory: 7,14,0,7,0,14,0,12,0,12,2
JS Industries,30,20,27,15,1,29,manufacturer_primary,surferAbility: 29; waveTypes: 27; waveHeight: 24,30,-10,9,18,12,3,1,0,6,23
Lost,79,77,45,36,6,77,manufacturer_primary,waveHeight: 79; manufacturerCategory: 77; surferAbility: 73,77,0,35,10,23,13,4,2,73,4
Misfit Shapes,12,12,1,1,0,12,manufacturer_primary,manufacturerCategory: 12; waveHeight: 12; waveTypes: 12,12,0,1,0,0,1,0,0,4,8
Pukas,13,13,6,10,2,13,manufacturer_primary,manufacturerCategory: 13; waveHeight: 11; surferAbility: 11,13,0,3,3,7,3,2,0,11,2
Pyzel,41,39,37,36,6,41,manufacturer_primary,surferAbility: 35; waveHeight: 33; waveTypes: 32,39,0,28,9,22,14,6,0,39,2
Rusty,49,46,26,17,12,41,manufacturer_primary,manufacturerCategory: 49; waveHeight: 49; waveTypes: 44,46,0,17,9,12,5,5,7,36,5
Sharp Eye,20,20,20,14,6,20,manufacturer_primary,waveTypes: 20; waveHeight: 18; surferAbility: 14,20,0,15,5,14,0,6,0,20,0
Simon Anderson,21,21,7,7,0,19,manufacturer_primary,manufacturerCategory: 21; waveTypes: 21; surferAbility: 21,21,0,5,2,2,5,0,0,10,9
