brand,model,relationshipCount
Lost,Micks Tape Sym,50
Chemistry Surfboards,Holiday,56
Chemistry Surfboards,Robotwo,56
Chilli,FAD3R,56
Pyzel,Power Tiger XL,56
Rusty,Hatchet,56
Rusty,Shiv,56
Lost,Retro Tripper,60
Channel Islands,ci-pro,62
Channel Islands,m-23,62
Channel Islands,og-flyer,62
Channel Islands,the-new-flyer,62
Channel Islands,the-peregrine,62
Chemistry Surfboards,Alchemist Remix,62
Chemistry Surfboards,Beer Fridge,62
Chemistry Surfboards,D3,62
Chemistry Surfboards,Daisho,62
Chemistry Surfboards,Disk 2,62
Chemistry Surfboards,Flash Point,62
Chemistry Surfboards,Liquid Sword,62
Chemistry Surfboards,The Zenith,62
Chilli,A2,62
Chilli,Faded 2.0,62
Chilli,SHORTIE,62
Firewire,Spaceship,62
Firewire,Special T,62
Firewire,Taylor Jensen Twinzer,62
Haydenshapes,Holy Hypto FutureFlex,62
Haydenshapes,Psychedelic Germ,62
Haydenshapes,Untitled,62
Haydenshapes,Untitled V2,62
Lost,Beach Buggy 2,62
Lost,Pick Up Stick,62
Lost,Retro Gun,62
Lost,Round Up,62
Lost,Step Driver,62
Lost,Tube Pig,62
Pyzel,Ghost Pro,62
Pyzel,Ghost XL,62
Pyzel,Mini Ghost Round,62
Pyzel,Puerto Padi,62
Pyzel,Pyzalien 2 XL,62
Rusty,Bali Single,62
Rusty,Enough Said,62
Rusty,So Fuunnn,62
Simon Anderson,Nxfc,62
Simon Anderson,SXE3,62
Simon Anderson,XFC,62
Channel Islands,goldie,66
Channel Islands,sampler,66
